name,image,html,player_name,nba_id
LukaGarza,https://cdn.nba.com/headshots/nba/latest/260x190/1630568.png,/player/1630568/luka-garza/,luka garza,1630568
RudyGay,https://cdn.nba.com/headshots/nba/latest/260x190/200752.png,/player/200752/rudy-gay/,rudy gay,200752
PaulGeorge,https://cdn.nba.com/headshots/nba/latest/260x190/202331.png,/player/202331/paul-george/,paul george,202331
TajGibson,https://cdn.nba.com/headshots/nba/latest/260x190/201959.png,/player/201959/taj-gibson/,taj gibson,201959
JoshGiddey,https://cdn.nba.com/headshots/nba/latest/260x190/1630581.png,/player/1630581/josh-giddey/,josh giddey,1630581
ShaiGilgeous-Alexander,https://cdn.nba.com/headshots/nba/latest/260x190/1628983.png,/player/1628983/shai-gilgeous-alexander/,shai gilgeous alexander,1628983
AnthonyGill,https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png,/player/1630264/anthony-gill/,anthony gill,1630264
CollinGillespie,https://cdn.nba.com/headshots/nba/latest/260x190/1631221.png,/player/1631221/collin-gillespie/,collin gillespie,1631221
RudyGobert,https://cdn.nba.com/headshots/nba/latest/260x190/203497.png,/player/203497/rudy-gobert/,rudy gobert,203497
JordanGoodwin,https://cdn.nba.com/headshots/nba/latest/260x190/1630692.png,/player/1630692/jordan-goodwin/,jordan goodwin,1630692
AaronGordon,https://cdn.nba.com/headshots/nba/latest/260x190/203932.png,/player/203932/aaron-gordon/,aaron gordon,203932
EricGordon,https://cdn.nba.com/headshots/nba/latest/260x190/201569.png,/player/201569/eric-gordon/,eric gordon,201569
Devonte'Graham,https://cdn.nba.com/headshots/nba/latest/260x190/1628984.png,/player/1628984/devonte-graham/,devonte graham,1628984
JeramiGrant,https://cdn.nba.com/headshots/nba/latest/260x190/203924.png,/player/203924/jerami-grant/,jerami grant,203924
AJGreen,https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png,/player/1631260/aj-green/,aj green,1631260
DannyGreen,https://cdn.nba.com/headshots/nba/latest/260x190/201980.png,/player/201980/danny-green/,danny green,201980
DraymondGreen,https://cdn.nba.com/headshots/nba/latest/260x190/203110.png,/player/203110/draymond-green/,draymond green,203110
JaMychalGreen,https://cdn.nba.com/headshots/nba/latest/260x190/203210.png,/player/203210/jamychal-green/,jamychal green,203210
JalenGreen,https://cdn.nba.com/headshots/nba/latest/260x190/1630224.png,/player/1630224/jalen-green/,jalen green,1630224
JavonteGreen,https://cdn.nba.com/headshots/nba/latest/260x190/1629750.png,/player/1629750/javonte-green/,javonte green,1629750
JeffGreen,https://cdn.nba.com/headshots/nba/latest/260x190/201145.png,/player/201145/jeff-green/,jeff green,201145
JoshGreen,https://cdn.nba.com/headshots/nba/latest/260x190/1630182.png,/player/1630182/josh-green/,josh green,1630182
AJGriffin,https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png,/player/1631100/aj-griffin/,aj griffin,1631100
BlakeGriffin,https://cdn.nba.com/headshots/nba/latest/260x190/201933.png,/player/201933/blake-griffin/,blake griffin,201933
QuentinGrimes,https://cdn.nba.com/headshots/nba/latest/260x190/1629656.png,/player/1629656/quentin-grimes/,quentin grimes,1629656
RuiHachimura,https://cdn.nba.com/headshots/nba/latest/260x190/1629060.png,/player/1629060/rui-hachimura/,rui hachimura,1629060
TyreseHaliburton,https://cdn.nba.com/headshots/nba/latest/260x190/1630169.png,/player/1630169/tyrese-haliburton/,tyrese haliburton,1630169
JordanHall,https://cdn.nba.com/headshots/nba/latest/260x190/1631160.png,/player/1631160/jordan-hall/,jordan hall,1631160
R.J.Hampton,https://cdn.nba.com/headshots/nba/latest/260x190/1630181.png,/player/1630181/rj-hampton/,rj hampton,1630181
TimHardaway Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/203501.png,/player/203501/tim-hardaway-jr/,tim hardaway jr,203501
JamesHarden,https://cdn.nba.com/headshots/nba/latest/260x190/201935.png,/player/201935/james-harden/,james harden,201935
