,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
495,Vlatko Cancar,DEN,25,6.4,9.3,69.1,2.7,5.9,45.7,1.2,3.1,38.8,0.6,2.0,32.0,0.5,1.5,35.2,1.1,3.3,33.3,2.6,7.7,33.8
496,Walker Kessler,UTA,21,7.3,11.9,61.3,4.1,9.8,41.4,2.1,5.2,40.3,0.6,2.0,31.4,0.6,1.6,36.0,1.1,3.3,33.5,4.5,11.4,39.3
497,Wendell Carter Jr.,ORL,23,10.4,15.7,66.1,4.5,10.0,45.2,2.9,6.9,41.9,1.4,3.1,46.3,1.1,2.7,40.4,2.5,5.7,43.6,5.3,16.2,32.6
498,Wendell Moore Jr.,MIN,21,2.8,4.0,70.5,0.8,2.0,38.8,0.7,1.5,46.4,0.3,0.9,36.4,0.2,1.1,18.8,0.4,1.4,25.9,1.1,3.1,36.1
499,Wenyen Gabriel,LAL,25,5.1,8.3,61.3,2.7,6.4,41.5,1.4,3.4,40.4,0.6,1.3,43.4,0.7,1.3,58.3,1.2,2.3,50.5,3.4,9.4,36.7
500,Wesley Matthews,MIL,36,5.2,8.1,64.4,2.4,5.9,40.1,1.6,4.4,37.0,0.5,1.4,33.3,0.5,1.0,48.4,0.8,2.2,39.0,2.9,8.8,32.7
501,Will Barton,WAS,32,7.3,11.0,66.2,3.3,8.2,40.7,2.0,4.5,43.6,0.5,1.2,40.5,0.7,1.6,45.3,1.1,2.5,43.3,3.7,9.9,37.8
502,Willy Hernangomez,NOP,28,5.5,7.7,71.6,2.0,4.2,48.7,1.3,2.5,52.1,0.7,2.2,31.3,0.4,1.4,32.4,1.0,3.1,31.8,2.1,7.1,29.5
503,Xavier Tillman,MEM,24,5.9,9.7,60.8,2.1,5.1,41.7,1.2,2.7,44.7,0.4,1.2,36.6,0.8,1.3,62.5,1.1,2.3,49.4,3.0,8.6,34.6
504,Yuta Watanabe,BKN,28,6.7,10.0,66.9,2.6,6.1,43.1,1.1,3.3,32.7,0.7,1.5,46.0,0.6,1.7,35.4,1.2,3.0,40.6,3.3,9.8,34.3
505,Zach Collins,SAS,25,8.6,13.3,65.1,3.7,7.9,46.9,2.5,5.4,46.6,0.7,1.6,45.3,0.6,1.7,32.1,1.2,3.1,38.6,3.8,10.8,35.5
506,Zach LaVine,CHI,27,14.0,20.6,67.9,4.1,10.1,40.7,3.0,7.3,41.4,1.3,3.6,36.2,1.0,3.6,28.7,2.3,7.1,32.4,7.3,20.4,35.9
507,Zeke Nnaji,DEN,22,5.4,7.9,67.8,2.1,4.7,44.8,0.9,2.3,37.6,0.6,1.6,35.8,0.5,1.4,40.5,1.0,2.6,37.9,1.8,6.6,27.1
508,Ziaire Williams,MEM,21,6.0,9.5,62.8,2.3,5.5,41.3,1.9,4.0,46.0,0.5,1.6,31.7,0.5,1.3,38.7,1.0,2.8,34.7,3.9,11.2,34.4
509,Zion Williamson,NOP,22,13.0,17.8,72.9,4.2,10.1,41.6,2.5,7.6,33.3,1.4,3.0,47.6,1.2,3.3,37.9,2.6,6.2,42.5,5.6,17.9,31.0
