,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
308,Kira Lewis Jr.,NOP,21,15,12,34.4,0.7,1.4,47.6,71.4,1.6,0.0,0.1,0.0,32.8,0.7,1.3,50.4
309,Giannis Antetokounmpo,MIL,28,48,36,6.8,0.4,1.4,26.9,39.6,1.0,0.0,0.2,9.5,5.7,0.3,1.2,29.4
310,Keon Johnson,POR,20,29,18,31.0,0.5,1.4,35.0,52.5,0.0,0.0,0.0,-,31.0,0.5,1.4,34.8
311,Sandro Mamukelashvili,MIL,23,24,18,56.9,0.3,1.4,21.2,31.8,1.7,0.0,0.0,0.0,55.2,0.3,1.3,21.8
312,Derrick Rose,NYK,34,27,23,23.3,0.3,1.4,21.6,32.4,0.6,0.0,0.0,0.0,22.6,0.3,1.3,22.6
313,Bryn Forbes,MIN,29,25,19,41.0,0.4,1.4,29.4,44.1,2.4,0.0,0.1,0.0,38.6,0.4,1.3,31.3
314,Jalen Johnson,ATL,21,56,41,31.8,0.4,1.4,27.6,41.4,1.7,0.0,0.1,0.0,30.1,0.4,1.3,29.5
315,Matisse Thybulle,POR,25,52,31,52.2,0.5,1.4,34.3,51.4,0.0,0.0,0.0,-,52.2,0.5,1.4,34.1
316,Romeo Langford,SAS,23,31,24,21.3,0.5,1.4,33.3,48.8,0.5,0.0,0.0,100,20.8,0.4,1.3,31.8
317,Dalano Banton,TOR,23,26,15,31.3,0.4,1.4,31.4,47.1,0.9,0.0,0.0,0.0,30.4,0.4,1.3,32.1
318,Eugene Omoruyi,OKC,26,23,14,33.0,0.4,1.4,29.0,41.9,1.1,0.0,0.0,100,31.9,0.3,1.3,26.9
319,Frank Ntilikina,DAL,24,37,23,51.0,0.3,1.4,26.0,36.0,5.1,0.1,0.1,57.1,45.9,0.3,1.2,22.1
320,Chris Paul,PHX,37,40,26,11.9,0.7,1.3,52.8,77.4,0.7,0.1,0.1,62.5,11.3,0.7,1.3,52.0
321,Darius Bazley,PHX,22,36,26,30.4,0.6,1.3,41.7,59.4,2.5,0.1,0.1,72.7,27.8,0.5,1.2,38.5
322,Dewayne Dedmon,PHI,33,30,21,30.2,0.4,1.3,30.8,43.6,3.1,0.1,0.1,53.8,27.1,0.3,1.2,28.2
323,Dyson Daniels,NOP,19,40,26,32.7,0.4,1.3,33.3,50.0,0.6,0.0,0.0,0.0,32.1,0.4,1.3,34.4
324,Kyle Anderson,MIN,29,49,31,20.3,0.6,1.3,46.8,66.1,2.0,0.1,0.1,83.3,18.3,0.5,1.1,43.0
325,JT Thor,CHA,20,49,37,51.7,0.3,1.3,25.8,37.1,5.0,0.0,0.1,33.3,46.7,0.3,1.1,25.4
326,Cory Joseph,DET,31,42,34,29.3,0.4,1.3,34.0,50.9,0.0,0.0,0.0,-,29.3,0.4,1.3,34.1
327,Stanley Johnson,SAS,26,29,19,29.8,0.6,1.2,47.2,68.1,2.5,0.1,0.1,70.0,27.3,0.5,1.1,45.6
328,Jae'Sean Tate,HOU,27,21,16,17.7,0.4,1.2,30.8,46.2,0.0,0.0,0.0,-,17.7,0.4,1.2,30.6
329,Danuel House Jr.,PHI,29,37,28,37.5,0.3,1.2,28.9,43.3,0.0,0.0,0.0,-,37.5,0.3,1.2,28.7
330,Jordan Goodwin,WAS,24,40,27,22.4,0.5,1.2,39.6,58.3,1.4,0.0,0.1,37.5,21.0,0.5,1.1,39.8
331,Jarrett Culver,ATL,24,10,6,27.9,0.1,1.2,8.3,12.5,4.7,0.0,0.2,0.0,23.3,0.1,1.0,10.0
332,Javonte Green,CHI,29,28,18,31.7,0.4,1.2,36.4,54.5,0.0,0.0,0.0,-,31.7,0.4,1.2,36.4
333,Udonis Haslem,MIA,42,6,4,58.3,0.2,1.2,14.3,14.3,41.7,0.2,0.8,20.5,16.7,0.0,0.3,0.0
334,Aaron Holiday,ATL,26,51,36,31.4,0.5,1.2,42.4,63.6,0.0,0.0,0.0,-,31.4,0.5,1.2,42.2
335,A.J. Lawson,DAL,22,13,8,57.7,0.5,1.1,46.7,70.0,0.0,0.0,0.0,-,57.7,0.5,1.1,47.0
336,Derrick Jones Jr.,CHI,26,46,36,31.5,0.4,1.1,34.0,50.9,0.0,0.0,0.0,-,31.5,0.4,1.1,33.9
337,Isaiah Roby,SAS,25,41,26,31.1,0.4,1.1,31.9,46.8,2.0,0.0,0.1,28.6,29.1,0.3,1.1,31.8
338,Jarred Vanderbilt,LAL,23,56,40,19.5,0.4,1.1,31.3,45.3,2.4,0.0,0.1,28.6,17.0,0.3,1.0,32.0
