,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
115,Dennis Smith Jr.,CHA,25,2.1,3.1,65.4,0.6,1.7,32.2,0.4,1.3,27.9,0.1,0.3,33.3,0.0,0.1,25.0,0.1,0.4,30.8,0.2,1.4,17.0
116,Deonte Burton,SAC,29,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
117,Dereon Seabron,NOP,22,0.5,0.5,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Derrick Jones Jr.,CHI,25,1.5,2.3,65.0,0.1,0.3,21.4,0.0,0.0,100.0,0.2,0.6,40.0,0.1,0.3,23.1,0.3,0.9,34.2,0.1,0.4,31.3
119,Derrick Rose,NYK,34,0.8,1.5,52.6,0.7,1.5,42.5,0.2,0.7,29.4,0.2,0.3,50.0,0.0,0.2,0.0,0.2,0.5,30.8,0.6,1.8,31.9
120,Derrick White,BOS,28,1.1,1.8,62.0,0.8,1.7,46.8,0.2,0.5,38.5,0.3,0.7,39.0,0.3,0.8,41.9,0.6,1.5,40.5,1.0,2.7,36.7
121,Desmond Bane,MEM,24,2.1,4.0,53.1,1.7,3.7,45.3,0.6,1.4,45.5,0.4,0.8,50.0,0.2,0.3,77.8,0.6,1.1,57.1,2.5,6.1,41.2
122,Devin Booker,PHX,26,2.6,3.8,67.5,1.9,4.1,47.2,2.8,6.1,46.7,0.2,0.4,46.2,0.1,0.4,33.3,0.3,0.9,40.0,2.0,5.5,36.0
123,Devin Vassell,SAS,22,1.6,2.7,57.7,0.8,2.2,34.4,2.0,4.1,48.3,0.3,0.7,40.0,0.4,0.7,65.0,0.7,1.4,52.5,2.1,5.5,38.1
124,Devon Dotson,WAS,23,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6,0.0,0.2,0.2,100
125,Devonte' Graham,SAS,27,0.1,0.3,35.3,0.1,0.2,41.7,0.2,0.2,66.7,0.1,0.2,41.7,0.1,0.2,33.3,0.2,0.4,38.1,1.1,3.2,34.7
126,Dewayne Dedmon,MIA,33,1.0,1.7,59.6,0.6,1.0,61.3,0.1,0.3,33.3,0.0,0.1,0.0,0.0,0.1,50.0,0.0,0.2,16.7,0.3,1.0,32.3
127,Dillon Brooks,MEM,27,1.7,3.1,55.6,1.5,3.6,41.7,0.7,2.0,32.7,0.2,0.6,35.5,0.1,0.3,18.8,0.3,1.0,29.8,1.6,4.9,31.5
