,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
413,Robin Lopez,CLE,30,22,8,7.9,2.9,0.2,50.0,0.3,75.0,0.0,0.0,1.3,65.5,0.5,53.3,0.6,50.0,66.1
414,Rodney McGruder,DET,21,3,18,10.4,3.2,0.0,0.0,1.9,38.2,0.4,30.0,0.5,83.3,0.0,0.0,0.1,100.0,52.6
415,Romeo Langford,SAS,31,10,21,20.3,7.3,2.9,46.3,1.3,33.3,1.2,46.2,1.5,73.3,0.0,0.0,0.3,50.0,52.0
416,Ron Harper Jr.,TOR,3,2,1,3.1,2.7,0.0,0.0,2.0,100.0,0.0,0.0,0.7,100.0,0.0,0.0,0.0,0.0,80.0
417,Royce O'Neale,BKN,55,31,24,33.4,9.2,1.2,32.5,5.8,40.8,1.1,35.0,0.4,50.0,0.0,0.0,0.1,50.0,53.5
418,Rudy Gay,UTA,44,23,21,14.7,4.8,0.9,48.3,1.6,27.7,1.1,38.3,0.9,52.0,0.5,52.6,0.4,85.7,43.6
419,Rudy Gobert,MIN,49,23,26,30.4,13.2,0.7,60.9,0.1,30.0,0.0,0.0,10.5,70.9,0.8,68.4,2.2,59.1,68.2
420,Rui Hachimura,LAL,41,22,19,24.8,12.4,2.4,44.6,3.2,35.7,2.9,49.2,2.1,63.3,0.8,51.9,0.5,47.8,52.7
421,Russell Westbrook,UTA,52,25,27,28.7,15.9,6.5,47.4,2.4,32.3,2.9,31.4,1.3,57.8,0.5,48.0,0.2,28.6,46.0
422,Ryan Arcidiacono,POR,13,8,5,2.7,0.2,0.0,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
423,Ryan Rollins,GSW,12,5,7,5.2,1.9,0.3,20.0,0.8,37.5,0.0,0.0,0.2,50.0,0.0,0.0,0.0,0.0,42.5
424,Saben Lee,PHX,19,12,7,15.1,5.8,2.6,46.9,0.9,50.0,0.4,23.1,0.2,50.0,0.0,0.0,0.0,0.0,48.1
425,Saddiq Bey,ATL,53,12,41,28.5,14.5,4.5,45.8,4.4,36.9,2.2,30.1,1.0,54.1,0.8,50.0,0.3,50.0,48.9
426,Sam Hauser,BOS,57,40,17,15.8,6.3,0.3,61.5,4.8,42.4,0.4,30.8,0.5,68.2,0.0,0.0,0.1,50.0,62.5
427,Sandro Mamukelashvili,MIL,23,16,7,8.6,2.4,0.4,60.0,0.9,24.1,0.0,0.0,0.8,56.3,0.0,0.0,0.0,0.0,41.7
428,Santi Aldama,MEM,54,32,22,22.1,9.5,1.2,50.0,4.0,38.0,0.4,34.8,2.2,67.1,0.2,45.5,0.5,61.1,57.6
429,Scottie Barnes,TOR,56,26,30,35.2,15.6,4.0,49.2,2.3,30.2,1.8,30.7,4.0,58.2,1.1,46.4,1.1,51.0,49.3
430,Scotty Pippen Jr.,LAL,6,1,5,5.3,2.3,1.2,50.0,0.0,0.0,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
431,Serge Ibaka,MIL,16,11,5,11.6,4.1,0.5,57.1,1.1,30.0,0.3,40.0,1.9,66.7,0.0,0.0,0.3,50.0,53.7
432,Seth Curry,BKN,40,27,13,22.8,10.4,1.6,52.8,4.2,41.4,4.2,49.3,0.1,66.7,0.0,0.0,0.1,33.3,57.1
433,Shaedon Sharpe,POR,57,27,30,20.3,7.9,1.2,51.7,2.4,42.6,1.7,35.6,1.6,74.6,0.0,0.0,0.2,53.8,55.4
434,Shai Gilgeous-Alexander,OKC,53,25,28,35.4,30.8,16.9,50.9,0.9,36.7,9.1,46.2,1.4,70.6,1.3,56.8,0.9,74.1,53.0
435,Shake Milton,PHI,53,38,15,21.5,9.2,3.5,44.8,2.1,41.3,1.3,36.0,0.9,76.0,0.0,0.0,0.2,75.0,55.1
436,Simone Fontecchio,UTA,31,17,14,9.6,3.6,0.6,64.3,1.7,32.7,0.8,33.3,0.2,20.0,0.1,0.0,0.1,66.7,47.2
437,Spencer Dinwiddie,BKN,57,30,27,34.1,17.7,6.8,49.1,3.9,43.6,5.4,38.9,0.1,50.0,0.4,69.2,0.1,66.7,55.0
438,Stanley Johnson,SAS,29,5,24,15.8,5.9,1.6,51.6,1.8,47.4,0.8,45.5,0.4,41.7,0.1,100.0,0.2,50.0,60.3
439,Stanley Umude,DET,1,0,1,2.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,Stephen Curry,GSW,37,19,18,34.9,29.8,6.6,59.1,6.4,38.5,11.2,45.9,1.2,80.0,0.0,0.0,0.7,91.7,61.9
441,Sterling Brown,LAL,4,2,2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,Steven Adams,MEM,42,28,14,27.0,8.6,0.8,57.7,0.1,33.3,0.0,0.0,6.0,59.6,0.8,68.8,1.4,57.8,59.7
443,Svi Mykhailiuk,CHA,14,9,5,4.6,2.4,0.0,0.0,0.9,40.0,0.9,57.1,0.1,100.0,0.0,0.0,0.0,0.0,62.5
444,T.J. McConnell,IND,57,24,33,19.6,7.7,5.0,52.0,0.6,35.3,1.9,50.0,0.2,62.5,0.0,0.0,0.0,0.0,54.7
445,T.J. Warren,PHX,27,17,10,18.4,9.3,1.9,40.0,2.2,43.1,2.9,47.5,1.3,69.6,0.1,40.0,0.5,63.6,55.4
446,Taj Gibson,WAS,36,17,19,9.8,3.6,0.1,66.7,0.5,28.0,0.3,62.5,2.1,66.7,0.3,30.8,0.7,44.4,56.8
447,Talen Horton-Tucker,UTA,46,23,23,16.5,7.7,4.4,51.7,1.1,23.3,1.7,36.3,0.3,40.0,0.0,0.0,0.1,66.7,45.5
448,Tari Eason,HOU,58,13,45,19.4,8.7,1.8,36.2,2.0,34.9,0.2,20.8,2.6,59.5,0.1,50.0,0.4,35.3,48.9
449,Taurean Prince,MIN,36,21,15,21.2,8.6,1.9,57.9,3.6,42.3,1.3,43.8,0.6,100.0,0.0,0.0,0.1,50.0,60.1
450,Terance Mann,LAC,59,32,27,23.3,8.9,2.6,52.3,2.0,37.1,1.6,45.3,1.3,66.0,0.1,100.0,0.3,63.6,58.4
451,Terence Davis,SAC,44,24,20,13.8,7.1,1.0,45.2,2.8,35.3,1.6,39.1,0.6,76.5,0.0,0.0,0.0,100.0,55.6
452,Terrence Ross,PHX,42,16,26,22.5,8.0,1.7,51.6,3.6,38.9,2.9,44.4,0.0,100.0,0.0,0.0,0.0,25.0,53.3
453,Terry Rozier,CHA,49,13,36,35.6,21.8,7.1,45.0,4.4,36.9,7.1,36.5,0.5,36.4,0.0,0.0,0.3,30.8,48.9
454,Terry Taylor,IND,26,9,17,8.8,2.7,0.9,52.6,0.5,23.5,0.1,20.0,0.8,66.7,0.0,0.0,0.0,0.0,49.2
455,Thaddeus Young,TOR,47,20,27,16.0,4.9,0.6,57.9,0.4,17.1,0.1,37.5,2.9,73.3,0.6,56.0,0.3,38.1,57.6
456,Thanasis Antetokounmpo,MIL,24,16,8,4.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,42.9,0.1,100.0,0.0,0.0,23.5
457,Theo Maledon,CHA,36,10,26,16.1,5.6,2.5,43.9,1.4,48.6,1.1,32.7,0.2,100.0,0.0,0.0,0.0,0.0,48.1
458,Theo Pinson,DAL,32,15,17,7.2,2.0,0.3,42.9,1.2,35.1,0.3,50.0,0.1,25.0,0.0,0.0,0.1,50.0,46.6
459,Thomas Bryant,DEN,44,24,20,20.6,11.7,0.3,75.0,2.5,50.0,0.1,37.5,6.8,72.5,0.4,46.7,2.2,67.2,68.9
460,Tim Hardaway Jr.,DAL,54,31,23,30.2,13.7,1.6,34.0,6.9,36.3,3.0,36.0,0.6,72.2,0.0,50.0,0.3,63.6,49.0
461,Tobias Harris,PHI,53,35,18,33.6,15.4,3.6,49.4,5.0,37.0,1.9,42.5,1.8,79.6,1.3,49.2,0.5,48.0,56.7
462,Tony Bradley,CHI,10,4,6,2.9,1.4,0.0,0.0,0.6,40.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,0.0,62.5
463,Torrey Craig,PHX,56,31,25,25.8,7.9,0.7,36.2,3.9,40.7,0.3,17.1,2.4,67.8,0.0,0.0,0.5,54.5,55.7
464,Trae Young,ATL,52,27,25,35.4,26.7,11.1,47.0,1.6,35.5,9.6,37.3,0.6,85.7,0.0,0.0,0.2,71.4,48.3
465,Tre Jones,SAS,51,14,37,29.3,12.6,6.2,42.7,1.9,30.2,2.9,34.8,0.4,70.0,0.0,0.0,0.2,83.3,46.1
466,Tre Mann,OKC,51,25,26,18.4,8.0,2.6,44.1,1.6,32.5,3.6,36.5,0.3,50.0,0.0,0.0,0.1,60.0,47.5
467,Trendon Watford,POR,42,21,21,16.2,5.5,2.1,64.0,1.2,48.6,0.2,35.7,1.1,62.5,0.2,57.1,0.5,60.0,61.6
