,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
230,Jeff Green,DEN,39,25,14,19.4,8.1,26.3,17.7,0.9,1.95,0.83,0.307,1.3,1.4,1.9,0.569,0.509,0.986
231,Jerami Grant,POR,54,25,29,35.7,20.8,53.5,33.2,2.2,2.46,1.4,0.388,0.9,2.9,2.0,0.542,0.426,1.028
232,Jeremiah Robinson-Earl,OKC,30,11,19,20.2,7.7,30.7,16.9,0.6,1.14,0.36,0.252,0.8,0.0,3.3,0.542,0.0,0.71
233,Jeremy Sochan,SAS,48,11,37,26.0,10.4,42.8,21.1,2.0,2.87,2.21,0.242,1.1,1.1,3.4,0.481,0.231,0.994
234,Jericho Sims,NYK,48,28,20,16.1,3.6,19.8,7.9,0.4,1.26,0.32,0.181,0.5,0.0,3.7,0.48,0.0,0.886
235,Jevon Carter,MIL,59,42,17,22.7,7.6,38.9,15.6,2.7,4.17,3.71,0.195,0.3,0.0,0.5,0.211,0.0,0.276
236,Jimmy Butler,MIA,46,24,22,33.4,21.9,62.6,36.6,4.5,4.34,3.18,0.35,1.8,2.6,5.8,0.553,0.441,0.865
237,Jock Landale,PHX,52,27,25,14.2,6.5,23.7,15.5,0.6,1.5,0.47,0.276,2.1,1.5,4.9,0.36,0.846,0.89
238,Joe Harris,BKN,52,29,23,23.8,8.5,25.3,18.0,0.6,1.48,0.79,0.336,0.4,0.0,0.6,0.842,0.0,1.032
239,Joe Ingles,MIL,26,18,8,22.3,6.1,31.7,19.6,1.6,3.04,1.82,0.193,0.0,0.0,0.2,0.0,0.0,0.667
240,Joe Wieskamp,TOR,2,1,1,8.5,4.5,9.0,8.0,0.2,1.35,0.89,0.5,0.5,0.0,0.0,0.0,0.0,0.0
241,Joel Embiid,PHI,47,31,16,35.1,33.1,72.7,52.5,3.1,2.57,1.16,0.455,9.4,7.3,5.2,0.709,0.661,1.089
