,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
23,Anthony Edwards,MIN,58,30,28,36.2,7.2,2.8,8.0,35.1,1.6,4.8,33.3,44.9
24,Anthony Gill,WAS,38,15,23,10.4,0.1,0.0,0.2,14.3,0.0,0.1,0.0,14.3
25,Anthony Lamb,GSW,42,23,19,19.3,0.3,0.1,0.3,35.7,0.1,0.3,36.4,50.0
26,Austin Reaves,LAL,38,17,21,28.2,1.8,0.8,1.9,42.3,0.2,0.5,36.8,47.2
27,Austin Rivers,MIN,43,22,21,21.1,0.2,0.1,0.4,15.8,0.1,0.3,20.0,23.7
28,Ayo Dosunmu,CHI,53,26,27,27.9,0.6,0.3,0.7,41.0,0.0,0.0,50.0,42.3
29,Bam Adebayo,MIA,50,27,23,35.2,2.8,1.4,3.2,43.2,0.0,0.0,0.0,43.2
30,Ben Simmons,BKN,39,23,16,27.1,0.2,0.1,0.4,23.5,0.0,0.1,0.0,23.5
31,Bennedict Mathurin,IND,56,25,31,28.1,2.7,1.0,3.0,34.3,0.6,1.8,35.7,44.9
32,Bismack Biyombo,PHX,44,24,20,14.2,0.0,0.0,0.0,50.0,-,-,-,50.0
33,Blake Griffin,BOS,23,15,8,13.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
34,Blake Wesley,SAS,11,2,9,11.8,0.5,0.3,1.3,21.4,0.0,0.0,-,21.4
35,Boban Marjanovic,HOU,17,1,16,4.2,0.2,0.1,0.4,33.3,0.0,0.0,-,33.3
36,Bobby Portis,MIL,47,30,17,26.8,1.7,0.9,2.2,38.1,0.0,0.1,14.3,38.6
37,Bogdan Bogdanovic,ATL,31,15,16,30.1,4.9,2.0,4.9,41.2,0.9,2.3,38.6,50.0
38,Bojan Bogdanovic,DET,53,14,39,31.8,5.3,2.4,5.5,43.3,0.6,1.8,31.9,48.4
39,Bol Bol,ORL,51,20,31,23.6,1.6,0.7,1.8,38.0,0.2,0.6,34.5,43.5
40,Bones Hyland,LAC,42,28,14,19.5,4.2,1.5,4.4,34.8,1.1,3.0,37.6,47.6
41,Bradley Beal,WAS,32,17,15,32.8,6.8,3.1,6.5,47.4,0.6,2.0,31.3,52.2
42,Brandon Boston Jr.,LAC,19,7,12,11.5,1.8,0.7,2.3,32.6,0.3,0.7,42.9,39.5
43,Brandon Clarke,MEM,48,27,21,19.7,0.3,0.1,0.2,60.0,0.0,0.0,-,60.0
44,Brandon Ingram,NOP,21,11,10,32.0,8.1,3.9,9.0,42.6,0.4,1.0,36.4,44.7
45,Braxton Key,DET,3,0,3,3.0,0.7,0.3,0.3,100,-,-,-,100
46,Brook Lopez,MIL,54,37,17,30.3,0.8,0.4,0.9,37.3,0.1,0.3,20.0,40.2
47,Bruce Brown,DEN,55,38,17,28.7,1.4,0.6,1.6,40.2,0.1,0.5,30.8,44.8
48,Bruno Fernando,ATL,31,9,22,11.7,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
49,Bryce McGowens,CHA,22,6,16,13.8,0.1,0.0,0.5,9.1,0.0,0.3,16.7,13.6
50,Bryn Forbes,MIN,25,9,16,10.7,1.1,0.5,1.3,37.5,0.2,0.6,28.6,43.8
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,-,-,-,-,-
52,Buddy Hield,IND,56,25,31,32.3,4.4,1.7,4.0,41.5,1.1,2.5,41.8,54.7
53,CJ McCollum,NOP,50,26,24,35.1,8.8,3.8,8.8,42.5,1.3,3.4,37.5,49.7
54,Cade Cunningham,DET,12,3,9,33.3,8.0,3.7,8.8,41.5,0.7,2.8,24.2,45.3
55,Caleb Houstan,ORL,32,11,21,16.4,0.3,0.1,0.2,60.0,0.1,0.1,66.7,80.0
56,Caleb Martin,MIA,45,24,21,30.7,1.9,0.8,1.7,45.5,0.3,0.7,45.2,54.5
57,Cam Reddish,POR,20,9,11,21.9,0.8,0.3,1.0,30.0,0.2,0.6,36.4,40.0
58,Cam Thomas,BKN,38,24,14,16.3,3.6,1.6,4.0,38.6,0.5,1.4,37.0,45.1
59,Cameron Johnson,BKN,17,13,4,25.3,1.9,0.8,2.3,35.9,0.3,0.8,38.5,42.3
60,Cameron Payne,PHX,28,15,13,24.0,4.4,1.8,4.3,42.0,0.8,1.8,44.9,51.3
61,Caris LeVert,CLE,51,30,21,30.8,3.0,1.2,3.8,31.6,0.6,1.7,33.7,39.4
62,Carlik Jones,CHI,1,1,0,1.1,0.0,0.0,0.0,-,-,-,-,-
63,Cedi Osman,CLE,55,34,21,21.3,0.9,0.3,1.0,33.3,0.3,0.8,38.1,48.1
64,Charles Bassey,SAS,24,5,19,13.6,0.1,0.0,0.1,33.3,0.0,0.1,50.0,50.0
65,Chima Moneke,SAC,2,1,1,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,41,24,17,10.9,0.0,0.0,0.1,16.7,0.0,0.1,0.0,16.7
67,Chris Boucher,TOR,50,24,26,20.8,0.4,0.2,0.5,39.1,0.0,0.1,16.7,41.3
68,Chris Duarte,IND,33,13,20,19.0,2.5,1.0,3.2,32.7,0.5,1.6,30.8,40.4
69,Chris Paul,PHX,36,18,18,31.8,7.9,3.4,8.3,41.8,1.0,3.0,32.7,47.6
70,Chris Silva,DAL,1,1,0,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,51,35,16,14.8,0.4,0.1,0.4,31.8,0.1,0.2,55.6,43.2
72,Christian Koloko,TOR,45,21,24,14.6,0.0,0.0,0.0,-,0.0,0.0,-,-
