,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
382,Orlando Robinson,MIA,25,15,10,14.2,18.6,1.6,0.3,0.7,44.4,0.0,0.2,25.0,0.8,46.3,0.8,51.2,0.1,9.5,0.0,0.0,0.1,4.9
383,Oshae Brissett,IND,48,21,27,16.2,25.6,0.4,0.1,0.2,54.5,0.0,0.0,100.0,0.3,66.7,0.1,33.3,0.0,28.6,0.0,4.8,0.0,4.8
384,Otto Porter Jr.,TOR,8,4,4,18.3,26.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3,0.0,0.0
385,Ousmane Dieng,OKC,19,8,11,15.0,18.1,0.6,0.3,0.3,100.0,0.1,0.1,50.0,0.6,109.1,0.2,27.3,0.1,66.7,0.0,0.0,0.1,9.1
386,P.J. Tucker,PHI,51,32,19,26.1,21.4,0.5,0.1,0.1,57.1,0.0,0.0,0.0,0.2,32.0,0.3,60.0,0.0,13.3,0.0,4.0,0.0,0.0
387,P.J. Washington,CHA,55,15,40,32.8,55.1,2.1,0.6,1.1,54.0,0.3,0.3,83.3,1.6,76.1,0.7,31.9,0.1,16.7,0.1,3.5,0.1,7.1
388,PJ Dozier,SAC,4,4,0,2.6,3.3,0.3,0.3,0.3,100.0,0.0,0.0,0.0,0.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,Paolo Banchero,ORL,48,19,29,33.8,64.9,1.0,0.3,0.5,50.0,0.3,0.3,81.3,0.8,81.3,0.3,29.2,0.0,0.0,0.0,0.0,0.2,16.7
390,Pascal Siakam,TOR,46,21,25,37.5,83.3,1.7,0.4,0.8,52.8,0.1,0.1,100.0,1.0,57.5,0.8,48.8,0.2,23.1,0.0,0.0,0.1,3.8
391,Pat Connaughton,MIL,38,25,13,25.2,35.2,0.4,0.1,0.1,75.0,0.0,0.0,0.0,0.2,40.0,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0
392,Patrick Baldwin Jr.,GSW,15,5,10,8.5,13.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Patrick Beverley,ORL,45,21,24,26.9,33.4,0.3,0.1,0.2,57.1,0.0,0.0,0.0,0.2,60.0,0.1,33.3,0.0,20.0,0.0,13.3,0.0,0.0
394,Patrick Williams,CHI,53,25,28,29.2,39.8,0.8,0.2,0.5,45.8,0.1,0.1,100.0,0.5,66.7,0.2,28.6,0.0,16.7,0.0,4.8,0.1,7.1
395,Patty Mills,BKN,34,17,17,13.5,18.6,0.1,0.0,0.1,33.3,0.0,0.0,0.0,0.1,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Paul George,LAC,41,25,16,34.3,70.2,1.6,0.4,0.9,48.6,0.0,0.0,100.0,0.9,56.9,0.6,36.9,0.2,29.2,0.1,7.7,0.0,1.5
397,Paul Reed,PHI,40,24,16,9.4,12.2,0.8,0.2,0.4,53.3,0.0,0.1,0.0,0.4,53.3,0.3,33.3,0.0,10.0,0.1,13.3,0.0,3.3
398,Payton Pritchard,BOS,39,28,11,12.4,21.2,0.2,0.1,0.1,75.0,0.0,0.0,0.0,0.2,85.7,0.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0
399,Peyton Watson,DEN,10,6,4,3.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Precious Achiuwa,TOR,32,17,15,22.8,35.2,1.4,0.4,0.8,50.0,0.1,0.1,75.0,0.9,65.2,0.5,37.0,0.0,5.9,0.0,0.0,0.1,4.3
401,Quentin Grimes,NYK,45,24,21,30.5,32.9,0.5,0.2,0.3,66.7,0.1,0.1,100.0,0.4,90.9,0.1,27.3,0.1,50.0,0.0,4.5,0.0,9.1
402,R.J. Hampton,ORL,26,7,19,13.9,23.6,0.3,0.1,0.1,66.7,0.0,0.0,0.0,0.2,57.1,0.2,57.1,0.0,25.0,0.0,0.0,0.0,0.0
403,RJ Barrett,NYK,49,25,24,34.9,52.5,1.2,0.4,0.7,58.3,0.1,0.1,100.0,1.0,84.7,0.4,32.2,0.1,26.3,0.0,1.7,0.1,5.1
404,Raul Neto,CLE,37,25,12,10.5,20.7,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.1,66.7,0.1,66.7,0.0,50.0,0.0,0.0,0.0,0.0
405,Reggie Bullock,DAL,54,29,25,30.0,32.9,0.2,0.1,0.1,83.3,0.0,0.0,0.0,0.2,90.9,0.1,36.4,0.0,25.0,0.0,9.1,0.0,0.0
