,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
78,Cole Swider,LAL,6,1,5,6.8,2957.3,0.56,0.32,0.24,4.61,4.96,3.95
79,Collin Sexton,UTA,46,24,22,24.5,9294.7,1.76,0.96,0.8,3.99,4.27,3.7
80,Corey Kispert,WAS,49,23,26,27.1,11135.1,2.11,1.17,0.93,4.36,4.81,3.91
81,Cory Joseph,DET,39,10,29,15.8,6594.1,1.25,0.67,0.58,4.39,4.68,4.11
82,D'Angelo Russell,LAL,56,28,28,32.9,12741.4,2.41,1.33,1.08,4.12,4.65,3.61
83,Daishen Nix,HOU,41,11,30,15.5,5914.9,1.12,0.61,0.51,4.01,4.27,3.76
84,Dalano Banton,TOR,26,14,12,9.5,4101.9,0.78,0.41,0.37,4.56,4.85,4.27
85,Dalen Terry,CHI,20,10,10,3.6,1469.9,0.28,0.14,0.13,4.54,4.91,4.19
86,Damian Jones,UTA,22,6,16,8.0,3140.9,0.59,0.31,0.29,4.15,4.5,3.83
87,Damian Lillard,POR,46,23,23,36.2,13513.3,2.56,1.46,1.1,3.96,4.45,3.45
88,Damion Lee,PHX,59,32,27,22.3,9255.4,1.75,0.97,0.78,4.36,4.74,3.98
89,Daniel Gafford,WAS,55,25,30,18.7,7437.1,1.41,0.75,0.66,4.21,4.35,4.06
90,Daniel Theis,IND,6,1,5,15.5,5728.3,1.08,0.57,0.52,3.96,4.13,3.79
91,Danny Green,MEM,3,1,2,14.5,6162.7,1.17,0.58,0.59,4.51,4.85,4.23
92,Danuel House Jr.,PHI,37,24,13,14.8,6026.7,1.14,0.59,0.55,4.3,4.51,4.12
93,Dario Saric,OKC,37,17,20,14.4,5786.6,1.1,0.6,0.5,4.24,4.52,3.96
94,Darius Bazley,PHX,36,16,20,15.4,6241.3,1.18,0.62,0.56,4.31,4.75,3.9
95,Darius Days,HOU,2,0,2,3.0,1281.0,0.24,0.13,0.12,4.35,5.14,3.53
96,Darius Garland,CLE,50,28,22,35.0,13666.1,2.59,1.45,1.14,4.14,4.52,3.74
